ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY
63581743,0,16MAR39,60.0,0,11.0,67349.0,0,0.0,no,male,phd,professional,14,Private,14230.0,11,minivan,1,4461.0,2,0,3.0,0.0,18.0,0,highly urban/ urban
132761049,0,21JAN56,43.0,0,11.0,91449.0,0,257252.0,no,male,high school,blue collar,22,Commercial,14940.0,1,minivan,1,0.0,0,0,0.0,0.0,1.0,0,highly urban/ urban
921317019,0,18NOV51,48.0,0,11.0,52881.0,0,0.0,no,male,bachelors,manager,26,Private,21970.0,1,van,1,0.0,0,0,2.0,0.0,10.0,0,highly urban/ urban
727598473,0,05MAR64,35.0,1,10.0,16039.0,0,124191.0,yes,f,high school,clerical,5,Private,4010.0,4,suv,0,11618.75,2,0,3.0,0.0,10.0,0,highly urban/ urban
450221861,0,05JUN48,51.0,0,14.0,53529.0,0,306251.0,yes,male,<high school,blue collar,32,Private,15440.0,7,minivan,1,0.0,0,0,0.0,0.0,6.0,0,highly urban/ urban
743146596,0,17MAY49,50.0,0,11.0,114986.0,0,243925.0,yes,f,phd,doctor,36,Private,18000.0,1,suv,0,11618.75,2,1,3.0,0.0,17.0,0,highly urban/ urban
871024631,0,05MAY65,34.0,1,12.0,125301.0,1,0.0,no,f,bachelors,blue collar,46,Commercial,17430.0,1,sports car,0,0.0,0,0,0.0,2946.0,7.0,1,highly urban/ urban
792300541,0,28FEB45,54.0,0,11.0,18755.0,0,160661.0,yes,f,<high school,blue collar,33,Private,8780.0,1,suv,0,0.0,0,0,0.0,0.0,1.0,0,highly urban/ urban
7945239,1,17SEP59,40.0,1,11.0,50815.0,1,0.0,no,male,high school,manager,21,Private,18930.0,6,minivan,0,3295.0,1,0,2.0,6477.0,1.0,1,highly urban/ urban
3577610,0,21AUG55,44.0,2,12.0,43486.0,1,0.0,no,f,high school,blue collar,30,Commercial,5900.0,10,suv,0,0.0,0,0,0.0,0.0,10.0,0,highly rural/ rural
892208080,1,14DEC61,37.0,2,11.0,107961.0,0,333680.0,yes,male,bachelors,blue collar,44,Commercial,16970.0,1,van,1,2374.0,1,1,7.5,4021.0,7.0,1,highly urban/ urban
